Calendar	avoikoi	avsettlements	avcoastsettl	avinlandsettl	avelevation	avtradeflow	avtradedistance	avmigrations	avecultivated	RAI
1207	157,5	27,03225806	9,566666667	17,56666667	571,4269724	137,5517241	69,40727486	7,62962963	2,591172522	0,743636367
1206	155,8666667	26,35483871	9,066666667	17,46666667	572,6172849	135,7241379	67,90838398	8,925925926	2,593636193	0,701616627
1205	155,5333333	26,09677419	8,866666667	17,4	568,6673807	135,4137931	66,17548787	6,555555556	2,592688085	0,659596886
1204	153,9333333	25,83870968	8,5	17,46666667	572,560178	132,4827586	66,12497982	7,555555556	2,601225419	0,617577146
1203	153,2333333	25,64516129	8,233333333	17,5	572,7750697	132,137931	63,73360158	7,148148148	2,601957505	0,617577146
1202	153,2333333	25,32258065	7,866666667	17,56666667	574,8423922	129,8965517	63,93986398	7,37037037	2,606083701	0,575557406
1201	152,1666667	25,09677419	7,733333333	17,46666667	575,2922377	132,0689655	64,78429302	5,555555556	2,610057224	0,575557406
1200	150,6	25,19354839	7,7	17,56666667	572,5063454	128,4827586	63,04293036	6,925925926	2,608965899	0,533537666
1199	150,1	25,03225806	7,466666667	17,66666667	576,2617183	128,2068966	62,44701919	6,555555556	2,611185282	0,575557406
1198	149,9	25	7,533333333	17,56666667	575,5092067	129,5862069	61,83030612	6,222222222	2,615212972	0,533537666
1197	149,6	24,67741935	7,333333333	17,46666667	583,0362386	126,6206897	62,23694513	7,111111111	2,614124623	0,575557406
1196	149,0333333	24,12903226	6,833333333	17,43333333	584,9885225	127,2068966	61,68428776	7,259259259	2,618171573	0,617577146
1195	147,5666667	24,03225806	6,766666667	17,4	587,0025687	128,7586207	62,16496697	4,666666667	2,610651267	0,617577146
1194	147,5333333	24,06451613	6,733333333	17,46666667	589,4956029	125,4482759	61,8344179	7,148148148	2,614099492	0,617577146
1193	146,7	23,93548387	6,5	17,6	591,6996129	123,6551724	60,32216802	7,37037037	2,617769909	0,617577146
1192	145,7333333	23,83870968	6,4	17,6	591,0578821	126,7586207	60,72971962	4,962962963	2,618022074	0,659596886
1191	144,5333333	23,67741935	6,3	17,53333333	590,3213766	125,9655172	61,25396538	5,259259259	2,61596319	0,659596886
1190	144	23,29032258	5,866666667	17,5	592,4251795	119,7931034	59,75970162	7	2,611545101	0,701616627
1189	143,9666667	23,29032258	5,9	17,46666667	587,5506569	120,9310345	58,35325185	5,740740741	2,60422762	0,743636367
1188	143,9	23,12903226	5,8	17,4	592,3842125	119,7241379	57,92026623	7,407407407	2,600665016	0,827675847
1187	143,2333333	23,16129032	5,866666667	17,36666667	591,7631251	122,137931	57,19999695	6	2,600243519	0,911715327
